Energia;Block;Latencia;Cobertura;Demands
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
735.8333333333334;0;0.0;1;12
793.2;0;3.8620128465118525e-06;1;25
995.7894736842105;0;8.414690017737882e-06;1;76
1146.7883211678832;0;1.7444754386454178e-05;1;137
1353.3830845771145;0;1.7263693011060048e-05;1;201
1445.9143968871595;0;2.2116106509555868e-05;1;257
1465.9927797833934;0;2.1099143167263986e-05;1;277
1491.783439490446;0;2.0656130813423767e-05;1;314
1485.9271523178809;0;2.069471053055489e-05;1;302
1489.5945945945946;0;2.2299032331807134e-05;1;296
1478.041237113402;0;2.2599235153379484e-05;1;291
1424.2222222222222;0;2.294646482041922e-05;1;225
1369.6791443850268;0;2.3572422612733322e-05;1;187
1061.4035087719299;0;2.3157408669170944e-05;1;114
972.3456790123457;0;2.2640556497365262e-05;1;81
820.9090909090909;0;2.2380480781184744e-05;1;33
780.5555555555555;0;2.2239031113326134e-05;1;18
738.5714285714286;0;2.2184504592207647e-05;1;7
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
751.1111111111111;0;0.0;1;9
758.8888888888889;0;2.3833769760450008e-07;1;18
938.1355932203389;0;9.263228729825764e-06;1;59
1113.8194444444443;0;1.4130919955279398e-05;1;144
1346.1032863849766;0;1.5257702220617166e-05;1;213
1460.479704797048;0;2.4079193080049457e-05;1;271
1460.3472222222222;0;2.5069343450722144e-05;1;288
1459.8576512455516;0;2.5407234514324487e-05;1;281
1504.4333333333334;0;2.5172430399527205e-05;1;300
1489.157894736842;0;2.502079027345098e-05;1;285
1424.8062015503876;0;2.4632267404917515e-05;1;258
1405.595238095238;0;2.4404215207580684e-05;1;252
1366.9565217391305;0;2.4863730722105548e-05;1;207
1051.5740740740741;0;2.423293956447673e-05;1;108
934.2105263157895;0;2.3905868497037548e-05;1;57
833.8095238095239;0;2.3639399043488647e-05;1;42
783.1578947368421;0;2.3508209966722248e-05;1;19
762.3076923076923;0;2.3407752465113935e-05;1;13
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;2
796.551724137931;0;1.651706913348381e-06;1;29
841.1764705882352;0;3.3515381022894044e-06;1;51
1063.4166666666667;0;1.1483044755540077e-05;1;120
1361.5942028985507;0;2.193593057776653e-05;1;207
1426.25;0;2.299225183297641e-05;1;264
1494.1958041958042;0;2.235903916992758e-05;1;286
1481.4102564102564;0;2.1572483111501002e-05;1;312
1456.734693877551;0;2.1811747013246625e-05;1;294
1488.0836236933799;0;2.241765271216114e-05;1;287
1461.063829787234;0;2.2569183473196343e-05;1;282
1472.1348314606741;0;2.2551669436210443e-05;1;267
1388.6877828054298;0;2.2558774075607747e-05;1;221
1102.8260869565217;0;2.2312919226934506e-05;1;138
964.8717948717949;0;2.2140465261475086e-05;1;78
836.5116279069767;0;2.1829948337373017e-05;1;43
770.5555555555555;0;2.1709108491836468e-05;1;18
755.0;0;2.166560956693667e-05;1;10
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
676.6666666666666;0;0.0;1;3
691.4285714285714;0;0.0;1;7
790.0;0;2.7375079567154683e-07;1;22
923.8805970149253;0;8.76314627463453e-06;1;67
1076.72131147541;0;1.0240931708540045e-05;1;122
1405.3990610328638;0;1.867880179521316e-05;1;213
1453.4241245136186;0;1.8689790745698534e-05;1;257
1486.8727272727272;0;2.315952208847585e-05;1;275
1453.257328990228;0;2.283581765443736e-05;1;307
1459.5302013422818;0;2.280914053760587e-05;1;298
1457.2118959107806;0;2.269517741966463e-05;1;269
1439.08;0;2.331005334745411e-05;1;250
1379.6120689655172;0;2.2779788990872005e-05;1;232
1370.568720379147;0;2.2696045255508844e-05;1;211
1074.298245614035;0;2.2201643261960682e-05;1;114
959.6969696969697;0;2.174809976770459e-05;1;66
832.75;0;2.149695506766275e-05;1;40
785.1724137931035;0;2.128601088010505e-05;1;29
755.0;0;2.120977158612187e-05;1;10
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
728.3333333333334;0;0.0;1;6
678.3333333333334;0;0.0;1;6
757.2222222222222;0;3.405665692923335e-06;1;18
960.9589041095891;0;6.926390095153574e-06;1;73
1219.1447368421052;0;1.4672096713960375e-05;1;152
1400.7111111111112;0;1.9616577843712688e-05;1;225
1451.123595505618;0;1.9344814856694483e-05;1;267
1473.4013605442176;0;2.1127983733097626e-05;1;294
1502.75;0;2.1070378683191653e-05;1;320
1490.4140127388534;0;2.0822252106785804e-05;1;314
1487.4048442906574;0;2.099634540756611e-05;1;289
1510.9931506849316;0;2.1334485991280692e-05;1;292
1462.5925925925926;0;2.1456147805917417e-05;1;270
1382.857142857143;0;2.1498799507537916e-05;1;196
1090.5384615384614;0;2.122409650098776e-05;1;130
947.34375;0;2.0953679510500992e-05;1;64
861.0204081632653;0;2.0711562526122317e-05;1;49
770.5882352941177;0;2.0606978512054436e-05;1;17
773.0769230769231;0;2.0518994110815702e-05;1;13
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
625.0;0;8.339696275557819e-07;1;2
752.0;0;1.9245452943594964e-07;1;10
854.9122807017544;0;1.7963045987755595e-06;1;57
993.9240506329114;0;5.63147439907006e-06;1;79
1254.9122807017543;0;1.7152361534726938e-05;1;171
1449.0551181102362;0;1.928785509249377e-05;1;254
1445.6317689530686;0;2.071483529290314e-05;1;277
1488.741935483871;0;2.5014117587579605e-05;1;310
1497.891156462585;0;2.418784010783122e-05;1;294
1473.3680555555557;0;2.482267498922501e-05;1;288
1485.4121863799282;0;2.489662030293853e-05;1;279
1401.124497991968;0;2.4224153877105042e-05;1;249
1339.1304347826087;0;2.4073045996703135e-05;1;207
1045.4310344827586;0;2.356754760756417e-05;1;116
976.0;0;2.3026763125309912e-05;1;70
825.5555555555555;0;2.273407859443416e-05;1;36
784.5;0;2.2566916251828028e-05;1;20
741.25;0;2.2500737611793342e-05;1;8
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
573.3333333333334;0;0.0;1;3
728.3333333333334;0;0.0;1;6
795.8333333333334;0;7.780322182555606e-07;1;24
889.3220338983051;0;2.6997099234960575e-06;1;59
1108.9473684210527;0;6.390059225196294e-06;1;133
1393.2905982905984;0;1.679190105786422e-05;1;234
1436.600790513834;0;1.7962273354186358e-05;1;253
1434.7286821705427;0;1.944672531744927e-05;1;258
1477.378640776699;0;2.266953318483325e-05;1;309
1484.1114982578397;0;2.105670020167649e-05;1;287
1488.8461538461538;0;2.086443699684359e-05;1;286
1498.397212543554;0;2.057685798826424e-05;1;287
