Energia;Block;Latencia;Cobertura;Demands
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;1
470.0;0;0.0;1;1
741.25;0;1.3657203723428888e-06;1;8
796.0;0;1.1524829775105391e-06;1;25
861.8867924528302;0;4.117554826768014e-06;1;53
1077.049180327869;0;6.859955506500043e-06;1;122
1359.5;0;1.7829262305150035e-05;1;200
1418.5897435897436;0;1.928857021871059e-05;1;234
1452.7734375;0;2.3365513755346768e-05;1;256
1478.448275862069;0;2.502698927724012e-05;1;290
1426.7383512544802;0;2.6589154781109275e-05;1;279
1440.2671755725191;0;2.5931584705402246e-05;1;262
1405.282258064516;0;2.5766814936093583e-05;1;248
1413.0263157894738;0;2.6053390027392337e-05;1;228
1126.0;0;2.5431391484438286e-05;1;130
1005.6701030927835;0;2.518940452409216e-05;1;97
881.8965517241379;0;2.487813328965098e-05;1;58
810.3125;0;2.4591634222403936e-05;1;32
765.0;0;2.4456474311438976e-05;1;14
758.1818181818181;0;2.4353592836186858e-05;1;11
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
594.0;0;0.0;1;5
762.3076923076923;0;0.0;1;13
809.0909090909091;0;2.992564574882361e-06;1;33
841.6666666666666;0;4.327743323648679e-06;1;54
1053.963963963964;0;1.1886520999940462e-05;1;111
1298.2446808510638;0;1.870738478634119e-05;1;188
1431.3333333333333;0;1.8107901509279657e-05;1;225
1428.8345864661653;0;2.0937301143427753e-05;1;266
1463.274647887324;0;2.1839671763293763e-05;1;284
1468.2835820895523;0;2.2015095159203185e-05;1;268
1444.367816091954;0;2.2589777136894584e-05;1;261
1468.6013986013986;0;2.278825051576921e-05;1;286
1408.169642857143;0;2.2869936951120914e-05;1;224
1287.4301675977654;0;2.3602571635813495e-05;1;179
1050.3921568627452;0;2.3350544135183887e-05;1;102
974.9230769230769;0;2.3184993419873466e-05;1;65
811.2121212121212;0;2.299468521379216e-05;1;33
785.5555555555555;0;2.284790152909111e-05;1;18
716.6666666666666;0;2.2769536013175782e-05;1;9
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
573.3333333333334;0;0.0;1;3
778.0;0;2.2290249433106584e-06;1;15
766.6666666666666;0;3.6298655934567623e-06;1;18
836.2222222222222;0;3.3265180689467763e-06;1;45
992.1739130434783;0;3.607232170779115e-06;1;92
1278.4;0;1.4680989338353037e-05;1;175
1383.5071090047393;0;1.7163651602326686e-05;1;211
1417.1317829457364;0;1.961105612239168e-05;1;258
1424.4094488188975;0;1.9698002197135428e-05;1;254
1457.0428015564203;0;1.9487706951168685e-05;1;257
1455.7039711191335;0;2.0261878007006968e-05;1;277
1433.08;0;2.0604299127062246e-05;1;250
1362.7488151658767;0;2.1398776540509976e-05;1;211
1219.620253164557;0;2.192366208339791e-05;1;158
979.7560975609756;0;2.141817888062844e-05;1;82
816.9767441860465;0;2.1210633047765394e-05;1;43
782.0;0;2.1006981016728486e-05;1;25
780.5555555555555;0;2.0848901728141064e-05;1;18
761.6666666666666;0;2.0744830671261824e-05;1;12
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
702.5;0;0.0;1;4
702.5;0;0.0;1;4
770.0;0;1.1913851822225454e-07;1;13
823.2558139534884;0;4.980903039679358e-06;1;43
1043.148148148148;0;1.5399563934032253e-05;1;108
1250.9392265193371;0;1.5379715432985064e-05;1;181
1450.2542372881355;0;1.6620337131254567e-05;1;236
1422.016129032258;0;1.9217839256503617e-05;1;248
1422.5795053003533;0;2.001942914928284e-05;1;283
1443.804347826087;0;2.015752538033371e-05;1;276
1443.9923954372623;0;2.065109758880261e-05;1;263
1482.3255813953488;0;2.1157500850392943e-05;1;258
1351.15;0;2.114737701195859e-05;1;200
1149.4039735099338;0;2.1143284844476142e-05;1;151
992.183908045977;0;2.0994383363059128e-05;1;87
958.3870967741935;0;2.071472436113955e-05;1;62
822.8571428571429;0;2.04856917329195e-05;1;28
789.5652173913044;0;2.0336540976784548e-05;1;23
748.8888888888889;0;2.0262649628867284e-05;1;9
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
702.5;0;0.0;1;8
785.5;0;0.0;1;20
836.304347826087;0;5.039915562628484e-06;1;46
1068.495575221239;0;1.4861508880558005e-05;1;113
1321.6019417475727;0;1.4438182233214912e-05;1;206
1400.759493670886;0;1.9687707556687512e-05;1;237
1462.5;0;2.134087153759458e-05;1;264
1474.307116104869;0;2.0934970473171923e-05;1;267
1444.6739130434783;0;2.114262531463517e-05;1;276
1450.185873605948;0;2.0720052242757627e-05;1;269
1424.1635687732341;0;2.053461835688242e-05;1;269
1373.7668161434979;0;2.2005331694677567e-05;1;223
1213.8709677419354;0;2.1872762213687776e-05;1;155
1012.4444444444445;0;2.156225677198002e-05;1;90
923.75;0;2.118718321486491e-05;1;56
786.551724137931;0;2.0957281587326152e-05;1;29
780.0;0;2.082557832519056e-05;1;16
756.3636363636364;0;2.07376659642083e-05;1;11
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
625.0;0;0.0;1;4
663.75;0;0.0;1;8
796.1538461538462;0;3.794027949483231e-06;1;26
823.3333333333334;0;5.929738970772041e-06;1;36
1029.7115384615386;0;9.180429954327289e-06;1;104
1292.1938775510205;0;1.6898874538034936e-05;1;196
1437.211155378486;0;2.0900308313554557e-05;1;251
1480.2721088435374;0;2.128418188215821e-05;1;294
1511.6842105263158;0;2.186483779430316e-05;1;285
1476.5371024734982;0;2.3664409825216978e-05;1;283
1479.365671641791;0;2.484605898400914e-05;1;268
1450.4135338345864;0;2.4323127052375823e-05;1;266
1387.6293103448277;0;2.4224215211558146e-05;1;232
1192.7388535031846;0;2.4937964749322156e-05;1;157
983.8202247191011;0;2.4473161555013658e-05;1;89
836.9565217391304;0;2.4055680100279322e-05;1;46
817.8125;0;2.3857808601885447e-05;1;32
768.75;0;2.3713224375942025e-05;1;16
752.0;0;2.3623120560705178e-05;1;10
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;1
625.0;0;4.169848137778909e-07;1;4
714.4444444444445;0;1.6679392551115638e-07;1;9
788.6363636363636;0;6.088824525344274e-07;1;22
889.8305084745763;0;4.90402004663223e-06;1;59
1002.9545454545455;0;1.0024273664852902e-05;1;88
1203.4117647058824;0;1.5129682411998158e-05;1;170
1417.8225806451612;0;1.980190406485428e-05;1;248
1457.7906976744187;0;2.1246277627810735e-05;1;258
1472.127659574468;0;2.1611077020426e-05;1;282
1458.9925373134329;0;2.169805283229964e-05;1;268
1489.6466431095407;0;2.3095359583508407e-05;1;283
1408.7755102040817;0;2.2685113877044313e-05;1;245
1375.7142857142858;0;2.3576212678307575e-05;1;217
